scene_id,OID,lng,lat,date,image_path,filename,image_url
S0024,9528,106.49066,29.491858,202210,images/9528_106.49066_29.491858_202210.jpg,9528_106.49066_29.491858_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/9528_106.49066_29.491858_202210.jpg
S0025,51162,106.57776,29.545698,202210,images/51162_106.57776_29.545698_202210.jpg,51162_106.57776_29.545698_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/51162_106.57776_29.545698_202210.jpg
S0026,12773,106.557069,29.559388,201711,images/12773_106.557069_29.559388_201711.jpg,12773_106.557069_29.559388_201711.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/12773_106.557069_29.559388_201711.jpg
S0027,20522,106.527733,29.603183,201907,images/20522_106.527733_29.603183_201907.jpg,20522_106.527733_29.603183_201907.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/20522_106.527733_29.603183_201907.jpg
S0028,41930,106.476257,29.525255,201906,images/41930_106.476257_29.525255_201906.jpg,41930_106.476257_29.525255_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/41930_106.476257_29.525255_201906.jpg
S0029,13047,106.477796,29.478677,201906,images/13047_106.477796_29.478677_201906.jpg,13047_106.477796_29.478677_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/13047_106.477796_29.478677_201906.jpg
S0030,51406,106.49335,29.502612,202210,images/51406_106.49335_29.502612_202210.jpg,51406_106.49335_29.502612_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/51406_106.49335_29.502612_202210.jpg
S0031,50908,106.484558,29.495916,201907,images/50908_106.484558_29.495916_201907.jpg,50908_106.484558_29.495916_201907.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/50908_106.484558_29.495916_201907.jpg
S0032,56844,106.470445,29.507789,202210,images/56844_106.470445_29.507789_202210.jpg,56844_106.470445_29.507789_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/56844_106.470445_29.507789_202210.jpg
S0033,4045,106.458926,29.487672,201711,images/4045_106.458926_29.487672_201711.jpg,4045_106.458926_29.487672_201711.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/4045_106.458926_29.487672_201711.jpg
S0034,32501,106.509548,29.50939,202107,images/32501_106.509548_29.50939_202107.jpg,32501_106.509548_29.50939_202107.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/32501_106.509548_29.50939_202107.jpg
S0035,21929,106.528382,29.600965,201907,images/21929_106.528382_29.600965_201907.jpg,21929_106.528382_29.600965_201907.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/21929_106.528382_29.600965_201907.jpg
